City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Auckland,Event Cinemas Queen Street & IMAX,1.43:1,IMAX GT Laser,1.43:1,No,65 ft 3.46 in,88 ft 6.99 in,Yes
Lower Hutt,Event Cinemas Queensgate & IMAX,1.90:1,IMAX CoLa,1.90:1,No,41 ft 0.13 in,76 ft 1.39 in,Yes
