Country,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Screen dimensions,Commercial films shown?
Norway,Oslo,ODEON Oslo & IMAX,1.90:1,IMAX GT Laser,1.90:1,,"24.2 m x 13.7 m",Yes
Poland,Krakow,Cinema City Zakopianka & IMAX,1.90:1,IMAX CoLa,1.90:1,,"24.1 m x 17.4 m",Yes
Portugal,Lisbon,Cinema NOS Colombo & IMAX,1.90:1,IMAX CoLa,1.90:1,,"21.4 m x 12.0 m",Yes
Serbia,Belgrade,CineplexX Galerija Belgrade & IMAX,1.90:1,IMAX CoLa,1.90:1,,,Yes
Spain,Madrid,Kinepolis Madrid & IMAX,1.90:1,IMAX Laser XT,1.90:1,,"20.0 m x 8.0 m",Yes
Spain,Valencia,"L'Hemisferic, Ciudad de las Artes y las Ciencias",Dome 1.43:1,,,IMAX GT Dome 15/70 mm,"24.0 m",No
Sweden,Stockholm,"IMAX Cosmonova, Swedish Museum of Natural History",Dome 1.43:1,IMAX Dome with Laser,Dome 1.43:1,,"23.0 m",
Sweden,Gothenburg,Filmstaden Bergakungen & IMAX,1.90:1,IMAX CoLa,1.90:1,,,Yes
Switzerland,Chur,blue Cinema Chur & IMAX,1.90:1,IMAX CoLa,1.90:1,,,Yes
Switzerland,Ebikon-Lucerne,Pathe Mall of Switzerland & IMAX,1.90:1,IMAX GT Laser,1.90:1,,"22.5 m x 12.5 m",Yes
Switzerland,Geneva,Pathe Balexert & IMAX,1.90:1,IMAX Laser XT,1.90:1,,,Yes
Switzerland,Spreitenbach,Pathe Spreitenbach & IMAX,1.90:1,IMAX CoLa,1.90:1,,,Yes
Ukraine,Kyiv,Multiplex Lavina Mall & IMAX,1.90:1,IMAX CoLa,1.90:1,,,
Ukraine,Kyiv,Planeta Kino River Mall & IMAX,1.90:1,IMAX CoLa,1.90:1,,,
Ukraine,Kyiv,Respublica IMAX,1.90:1,IMAX CoLa,1.90:1,,,
United Kingdom,Ashford,Cineworld Ashford & IMAX,1.43:1,IMAX CoLa,1.90:1,,"23 m x 16 m",Yes
United Kingdom,Barnsley,Cineworld Barnsley & IMAX,1.90:1,IMAX CoLa,1.90:1,,,Yes
United Kingdom,Belfast,Cineworld Belfast & IMAX,1.43:1,IMAX CoLa,1.90:1,,,Yes
United Kingdom,Dunfermline,ODEON Dunfermline & IMAX,1.90:1,IMAX CoLa,1.90:1,,,Yes
United Kingdom,Gateshead,ODEON Gateshead & IMAX,1.90:1,IMAX CoLa,1.90:1,,"19.0 m x 10.0 m",Yes
United Kingdom,Glasgow,Cineworld Silverburn & IMAX,1.90:1,IMAX CoLa,1.90:1,,"24 m x 13 m",Yes
United Kingdom,Liverpool,ODEON Liverpool ONE & IMAX,1.90:1,IMAX CoLa,1.90:1,,,Yes
United Kingdom,London,Cineworld Leicester Square IMAX,1.90:1,IMAX GT Laser,1.90:1,,"26.5 m x 14.0 m",Yes
United Kingdom,Manchester,ODEON Trafford Centre & IMAX,1.90:1,IMAX CoLa,1.90:1,,"17.8 m x 9.7 m",Yes
United Kingdom,Rushden,Cineworld Rushden Lakes & IMAX,1.90:1,IMAX CoLa,1.90:1,,"23.8 m x 13.2 m",Yes
United Kingdom,Sheffield,Cineworld Sheffield & IMAX,1.90:1,IMAX GT Laser,1.90:1,,"23.9 m x 12.9 m",Yes
United Kingdom,Swindon,VUE Swindon & IMAX,1.90:1,IMAX CoLa,1.90:1,,,Yes
United Kingdom,Watford,Cineworld Watford & IMAX,1.90:1,IMAX CoLa,1.90:1,,"22.0 m x 11.6 m",Yes
United Kingdom,York,Cineworld York & IMAX,1.43:1,IMAX CoLa,1.90:1,,"22.29 m x 16.81 m",Yes
United Kingdom,London,"BFI IMAX, British Film Institute",1.43:1,IMAX CoLa,1.90:1,IMAX GT3D 15/70 mm,"26 m x 20 m",Yes
United Kingdom,London,IMAX: The Ronson Theatre at the Science Museum,1.43:1,IMAX GT Laser,1.43:1,IMAX GT3D 15/70 mm,"24.3 m x 16.8 m",Yes
United Kingdom,Manchester,Vue Manchester IMAX & The Printworks,1.43:1,IMAX GT Laser,1.43:1,IMAX GT3D 15/70 mm,"26.3 m x 18.8 m",Yes
