Province,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Banten,South Tangerang,Bintaro Xchange 2 XXI & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
Banten,Tangerang,Alam Sutera XXI & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
DKI Jakarta,South Jakarta,Gandaria City XXI & IMAX,1.90:1,IMAX CoLa,1.90:1,No,66 ft 11.15 in,35 ft 5.2 in,Yes
DKI Jakarta,North Jakarta,Kelapa Gading XXI & IMAX,1.90:1,IMAX CoLa,1.90:1,No,77 ft 5.13 in,46 ft 10.99 in,Yes
Central Java,Semarang,The Park Semarang XXI & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
West Java,Bandung,Summarecon Mall Bandung XXI & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
West Java,Cikarang,AEON Mall Deltamas & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
West Java,Depok,Margo City XXI & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
DKI Jakarta,East Jakarta,Keong Emas IMAX,1.43:1,,,IMAX GT3D 15/70 mm,96 ft 1.54 in,70 ft 6.46 in,No
