Province,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Eastern Province,Al Khobar,"Science Dome, Sultan Bin Abdulaziz Science & Technology Center",Dome 1.43:1,,,IMAX SR Dome 15/70 mm,0 ft 0.0 in,65 ft 7.4 in,No
Eastern Province,Hafr Al Batin,AMC Hafr Al Batin 8 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
Mecca Province,Jeddah,AMC Stars Avenue 9 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
Mecca Province,Jeddah,VOX Jeddah Town Square & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
Mecca Province,Jeddah,VOX Red Sea Mall & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
Riyadh Province,Riyadh,AMC Al Khair 9 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
Riyadh Province,Riyadh,Empire Cinemas Rabwa & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
