Province,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Central Region,Geylang,Shaw Paya Lebar Quarter & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
Central Region,Orchard,Shaw Theatres Lido & IMAX,1.90:1,IMAX CoLa,1.90:1,No,62 ft 4.03 in,29 ft 6.33 in,Yes
East Region,Changi,Shaw Theatres Jewel & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
