Province,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Ahmadi,Fahaheel,Cinescape Al-Kout & IMAX,1.90:1,IMAX CoLa,1.90:1,No,68 ft 10.77 in,38 ft 8.57 in,Yes
Hawalli,Salmiya,"IMAX, The Scientific Center Kuwait",1.43:1,IMAX GT Laser,1.43:1,No,65 ft 7.4 in,48 ft 6.68 in,No
