Province,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Abu Dhabi,Abu Dhabi,VOX Al Maryah & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
Dubai,Dubai,VOX Cinemas & IMAX,1.90:1,IMAX GT Laser,1.90:1,No,78 ft 4.94 in,41 ft 8.0 in,Yes
