Province,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Ho Chi Minh City,Ho Chi Minh City,CGV Sư Vạn Hạnh & IMAX,1:90:1,IMAX Laser XT,1.90:1,No,38 ft 6.2 in,70 ft 0.16 in,Yes
Ho Chi Minh City,Ho Chi Minh City,CGV AEON Bình Tân & IMAX,1:90:1,IMAX Laser XT,1.90:1,No,37 ft 0.88 in,67 ft 8.99 in,Yes
Ho Chi Minh City,Thu Duc,Galaxy Sala & IMAX,1:90:1,IMAX Laser XT,1:90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
