Province,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Northern Taiwan,New Taipei,New Taipei Yulon City VieShow & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
Northern Taiwan,New Taipei City,Vie Show Cinemas Banqiao Mega City IMAX,1.90:1,IMAX CoLa,1.90:1,No,69 ft 10.58 in,36 ft 6.98 in,Yes
Southern Taiwan,Jiayi City,IN89 Cinemax Chiayi & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
Southern Taiwan,Kaohsiung,Kaohsiung Vie Show IMAX,1.90:1,IMAX CoLa,1.90:1,No,52 ft 1.98 in,26 ft 10.83 in,Yes
Northern Taiwan,Taipei,Miramar IMAX,1.43:1,IMAX GT Laser,1.43:1,No,93 ft 2.11 in,69 ft 6.65 in,Yes
