City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Antwerp,Kinepolis Mega NV Antwerpen & IMAX,1.90:1,IMAX CoLa,1.90:1,No,36 ft 1.07 in,65 ft 7.4 in,Yes
Brussels,Kinepolis Brussels & IMAX,1.43:1,IMAX GT Laser,1.43:1,No,63 ft 3.84 in,90 ft 6.61 in,Yes
Charleroi,Pathé Charleroi & IMAX,1.90:1,IMAX GT Laser,1.90:1,No,52 ft 5.92 in,72 ft 2.14 in,Yes
Liège,Kinepolis Liege & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,26 ft 2.96 in,65 ft 7.4 in,Yes
