City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Amsterdam,Pathe Arena & IMAX,1.90:1,IMAX CoLa,1.90:1,No,34 ft 1.45 in,66 ft 11.15 in,Yes
Arnhem,Pathe Arnhem & IMAX,1.90:1,IMAX CoLa,1.90:1,No,39 ft 4.44 in,68 ft 10.77 in,Yes
Eindhoven,Pathe Eindhoven & IMAX,1.90:1,IMAX CoLa,1.90:1,No,22 ft 11.59 in,59 ft 0.66 in,Yes
Rotterdam,Pathe Schouwburgplein & IMAX,1.90:1,IMAX CoLa,1.90:1,No,29 ft 6.33 in,59 ft 0.66 in,Yes
The Hague,Pathe Spuimarkt & IMAX,1.90:1,IMAX CoLa,1.90:1,No,36 ft 1.07 in,68 ft 10.77 in,Yes
Tilburg,Pathe Tilburg & IMAX,1.90:1,IMAX CoLa,1.90:1,No,32 ft 9.7 in,62 ft 4.03 in,Yes
