City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Graz,CineplexX Graz & IMAX,1.90:1,IMAX CoLa,1.90:1,No,57 ft 1.04 in,30 ft 2.2 in,Yes
Hohenems,Cineplexx Hohenems & IMAX,1.90:1,IMAX CoLa,1.90:1,No,55 ft 9.29 in,29 ft 10.27 in,Yes
Vienna,CineplexX Apollo Vienna & IMAX,1.90:1,IMAX CoLa,1.90:1,No,57 ft 8.91 in,31 ft 2.02 in,Yes
Vienna,CineplexX Donau Plex IMAX Vienna,1.90:1,IMAX CoLa,1.90:1,No,67 ft 3.09 in,36 ft 1.07 in,Yes
Wiener Neudorf,CineplexX Westfield SCS & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
