City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Chur,blue Cinema Chur & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
Ebikon-Lucerne,Pathe Mall of Switzerland & IMAX,1.90:1,IMAX GT Laser,1.90:1,No,73 ft 9.83 in,41 ft 0.13 in,Yes
Geneva,Pathe Balexert & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
Spreitenbach,Pathe Spreitenbach & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
