City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Berlin,UCI Luxe Mercedes Platz & IMAX,1.90:1,IMAX CoLa,1.90:1,No,73 ft 1.95 in,44 ft 3.5 in,Yes
Karlsruhe,Filmpalast am ZKM & IMAX,1.43:1,IMAX GT Laser,1.43:1,No,73 ft 1.95 in,51 ft 10.05 in,Yes
Leonberg,IMAX Leonberg,1.90:1,IMAX GT Laser,1.90:1,No,127 ft 3.56 in,68 ft 10.77 in,Yes
Sinsheim,"IMAX 3D, Sinsheim Auto & Technik Museum",1.43:1,IMAX GT Laser,1.43:1,No,88 ft 6.99 in,72 ft 2.14 in,Yes
Speyer,"IMAX Dome, Speyer Technik Museum",Dome 1.43:1,,,IMAX GT Dome 15/70 mm,0 ft 0.0 in,78 ft 8.88 in,No
