City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Width,Height,Commercial films shown?
Melbourne,"IMAX, Melbourne Museum",1.43:1,IMAX GT Laser,1.43:1,"IMAX GT3D 15/70 mm, (2D Only)",32.0m,23.0m,Yes
Sydney,IMAX Sydney,1.43:1,IMAX GT Laser,1.43:1,No,29.0m,23.8 m,Yes
