City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Screen Dimensions,Commercial films shown?
Melbourne,"IMAX, Melbourne Museum",1.43:1,IMAX GT Laser,1.43:1,"IMAX GT3D 15/70 mm, (2D Only)","32.0 m x 23.0 m<br/>105 ft x 75.5 ft",Yes
Sydney,IMAX Sydney,1.43:1,IMAX GT Laser,1.43:1,No,"29.0 m x 23.8 m<br/>95.1 ft x 78.1 ft",Yes
