Country,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Screen dimensions,Commercial films shown?
Australia,Melbourne,"IMAX, Melbourne Museum",1.43:1,IMAX GT Laser,1.43:1,"IMAX GT3D 15/70 mm, (2D Only)","32.0 m × 23.0 m", Yes
Australia,Sydney,IMAX Sydney,1.43:1,IMAX GT Laser,1.43:1,N/A,"29.0 m × 23.8 m",Yes
