Country,Province/State,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
United States,NY,Staten Island,AMC Staten Island 11 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9.40 m,16.80 m,Yes
United States,NY,Stony Brook,AMC Stony Brook 17 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,8.50 m,15.90 m,Yes
United States,NY,Fresh Meadows,AMC Fresh Meadows 7 & IMAX,Unk,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
United States,NY,New Rochelle,Regal New Roc & IMAX,1.43:1,IMAX CoLa,1.90:1,No,18.10 m,24.80 m,Yes
United States,NY,New York,AMC Lincoln Square 13 & IMAX,1.43:1,IMAX GT Laser,1.43:1,IMAX GT3D 15/70 mm,23.04 m,30.78 m,Yes
United States,OH,Columbus,Lennox Town Center & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9.20 m,17.70 m,Yes
United States,OH,Cincinnati,Robert D. Lindner Family OMNIMAX® Theater,Dome 1.43:1,IMAX Laser for Dome,Dome 1.43:1,No,0 m,22.00 m,No
United States,OK,Moore,Regal Warren Moore & IMAX,1.43:1,IMAX CoLa,1.90:1,No,18.30 m,24.40 m,Yes
United States,PA,Bensalem,AMC Neshaminy 24 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9.80 m,18.30 m,Yes
United States,PA,Warrington,Regal Warrington Crossing & IMAX,1.90:1,IMAX CoLa,1.90:1,No,8.20 m,15.80 m,Yes
United States,PA,West Homestead,AMC Waterfront 22 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,8.50 m,15.30 m,Yes
United States,PA,King of Prussia,Regal UA King of Prussia & IMAX,1.43:1,IMAX CoLa,1.90:1,IMAX 15/70 mm,15.90 m,22.30 m,Yes
United States,RI,Providence,Providence Place Cinemas 16 and IMAX,1.43:1,IMAX Digital,1.90:1,IMAX GT3D 15/70 mm,18.60 m,24.70 m,Yes
United States,TN,Franklin,AMC Thoroughbred 20 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,11.60 m,21.10 m,Yes
United States,TN,Knoxville,Regal Pinnacle & IMAX,1.90:1,IMAX CoLa,1.90:1,No,11.20 m,18.60 m,Yes
United States,TN,Chattanooga,"IMAX 3D, Tennessee Aquarium",1.43:1,IMAX GT Laser,1.43:1,No,21.00 m,26.60 m,Yes
United States,TN,Nashville,Regal Opry Mills & IMAX,1.43:1,IMAX CoLa,1.90:1,IMAX GT3D 15/70 mm,20.0 m,27.40 m,Yes
United States,TX,Austin,Regal Gateway & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9.00 m,15.20 m,Yes
United States,TX,Dallas,AMC Northpark 15 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,11.10 m,20.00 m,Yes
United States,TX,Edinburg,AMC Edinburg 18 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,23.0 m,Yes
United States,TX,Frisco,AMC Stonebriar 24 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,8.80 m,15.90 m,Yes
United States,TX,Houston,AMC Willowbrook 24 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9.50 m,17.10 m,Yes
United States,TX,Shenandoah,AMC Metropark 10 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,10.00 m,16.00 m,Yes
United States,TX,Houston,Regal Edwards Houston Marq*E & IMAX,1.43:1,IMAX CoLa,1.90:1,No,17.40 m,22.90 m,Yes
United States,TX,Austin,"IMAX, The Bullock Texas State History Museum",1.43:1,IMAX GT Laser,1.43:1,No,19.00 m,25.10 m,Yes
United States,TX,San Antonio,AMC Rivercenter 11 & IMAX (Auditorium 10),1.43:1,IMAX Digital,1.90:1,No,16.10 m,21.30 m,Yes
United States,TX,Dallas,Cinemark Dallas & IMAX,1.43:1,IMAX Digital,1.90:1,IMAX SR 15/70 mm,16.10 m,21.60 m,Yes
United States,TX,San Antonio,AMC Rivercenter 11 & IMAX (Auditorium 11),1.43:1,IMAX Digital,1.90:1,IMAX 15/70 mm,18.90 m,25.90 m,Yes
United States,VA,Alexandria,AMC Hoffman 22,1.90:1,IMAX CoLa,1.90:1,No,8.5 m,15.5 m,Yes
United States,VA,Ashburn,Regal Fox & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9.50 m,16.80 m,Yes
United States,VA,McLean,AMC Tysons Corner 16 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,12.20 m,19.80 m,Yes
United States,VA,Virginia Beach,AMC Lynnhaven 18 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9.10 m,15.80 m,Yes
United States,VA,Woodbridge,AMC Potomac Mills 18 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9.00 m,16.00 m,Yes
United States,VA,Chantilly,"Airbus IMAX, Steven F. Udvar-Hazy Center",1.43:1,IMAX GT Laser,1.43:1,No,19.00 m,26.10 m,Yes
United States,WA,Kent,AMC Kent Station 14 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,8.80 m,15.70 m,Yes
United States,WA,Lynnwood,AMC Alderwood Mall 16 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,10.70 m,19.20 m,Yes
United States,WA,Tukwila,AMC Southcenter 16 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,8.70 m,15.80 m,Yes
United States,WA,Seattle,"Boeing IMAX, Pacific Science Center",1.43:1,IMAX GT Laser,1.43:1,No,18.10 m,24.40 m,Yes
