City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Madrid,Kinepolis Madrid & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,26 ft 2.96 in,65 ft 7.4 in,Yes
Valencia,"L'Hemisferic, Ciudad de las Artes y las Ciencias",Dome 1.43:1,No,No,IMAX GT Dome 15/70 mm,0 ft 0.0 in,78 ft 8.88 in,No
