City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Gothenburg,Filmstaden Bergakungen & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
Uppsala,Filmstaden LUXE Uppsala & IMAX,1.90:1,IMAX CoLa,1.90:1,No,36 ft 1.07 in,68 ft 10.77 in,Yes
Stockholm,"IMAX Cosmonova, Swedish Museum of Natural History",Dome 1.43:1,IMAX Dome with Laser,Dome 1.43:1,No,0 ft 0.0 in,75 ft 5.51 in,Unk
