City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Stockholm,"IMAX Cosmonova, Swedish Museum of Natural History",Dome 1.43:1,IMAX Dome with Laser,Dome 1.43:1,No,0 m,23.0 m,Unk
Gothenburg,Filmstaden Bergakungen & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
