City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Antwerp,Kinepolis Mega NV Antwerpen & IMAX,1.90:1,IMAX CoLa,1.90:1,No,20.0 m,11.0 m,Yes
Brussels,Kinepolis Brussels & IMAX,1.43:1,IMAX GT Laser,1.43:1,No,27.6 m,19.3 m,Yes
Charleroi,Pathé Charleroi & IMAX,1.90:1,IMAX GT Laser,1.90:1,No,22.0 m,16.0 m,Yes
Liège,Kinepolis Liege & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,20.0 m,8.0 m,Yes
