City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Melbourne,"IMAX, Melbourne Museum",1.43:1,IMAX GT Laser,1.43:1,"IMAX GT3D 15/70 mm, (2D Only)",23.0 m,32.0 m,Yes
Sydney,IMAX Sydney,1.43:1,IMAX GT Laser,1.43:1,No,23.8 m,29.0 m,Yes
