State,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
New South Wales,Sydney,IMAX Sydney,1.43:1,IMAX GT Laser,1.43:1,No,78 ft 1.01 in,95 ft 1.73 in,Yes
Queensland,Broadbeach," ""Event Cinemas Pacfic Fair""",1.90:1,IMAX Laser XT,1.90:1,No,37 ft 8.76 in,69 ft 10.58 in,Yes
Victoria,Melbourne,"IMAX, Melbourne Museum",1.43:1,IMAX GT Laser,1.43:1,"IMAX GT3D 15/70 mm, (2D Only)",75 ft 5.51 in,104 ft 11.84 in,Yes
