Province,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Central Thailand,Bangkok,"IMAX at ICON CINECONIC, ICONSIAM",1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
Central Thailand,Bangkok,"IMAX Theatre, Quartier Cine-Art",1.90:1,IMAX CoLa,1.90:1,No,25.70 m,13.70 m,Yes
Central Thailand,Nonthaburi,Esplanade Cineplex Ngamwongwan-Khaerai & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,22.00 m,11.00 m,Yes
Central Thailand,Samutprakarn,IMAX Mega Cineplex at Mega Bangna,1.90:1,IMAX Laser XT,1.90:1,No,19.60 m,10.20 m,Yes
Central Thailand,Bangkok,"IMAX, Major Cineplex Ratchayothin",1.43:1,IMAX CoLa,1.90:1,No,24.00 m,17.00 m,Yes
Central Thailand,Bangkok,"Krungsri IMAX, Paragon Cineplex",1.43:1,IMAX CoLa,1.90:1,No,27.30 m,19.90 m,Yes
