State,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
KS,Olathe,AMC Studio 28 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
LA,Shreveport,The Goodman IMAX Dome,Dome 1.43:1,IMAX Laser for Dome,Dome 1.43:1,No,0 ft 0.0 in,60 ft 0.47 in,Yes
MA,Boston,"Mugar Omni, Museum of Science",Dome 1.43:1,IMAX Laser for Dome,Dome 1.43:1,No,0 ft 0.0 in,76 ft 1.39 in,Limited
MA,Danvers,AMC Liberty Tree Mall 20 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
MA,Methuen,AMC Methuen 20 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,30 ft 10.08 in,53 ft 9.67 in,Yes
MA,Reading,Sunbrella IMAX 3D Theater Reading,1.43:1,IMAX GT Laser,1.43:1,No,65 ft 7.4 in,84 ft 3.81 in,Yes
MA,Somerville,AMC Assembly Row 12 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,30 ft 10.08 in,55 ft 1.42 in,Yes
MD,Columbia,AMC Columbia 14 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,23 ft 11.4 in,52 ft 1.98 in,Yes
MD,Frederick,Regal Westview & IMAX,1.90:1,IMAX CoLa,1.90:1,No,25 ft 3.15 in,46 ft 10.99 in,Yes
MD,Gaithersburg,AMC Rio Cinemas 18 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,26 ft 10.83 in,44 ft 11.37 in,Yes
MD,Nottingham,AMC White Marsh 16 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,27 ft 10.65 in,53 ft 1.8 in,Yes
MI,Detroit,"Chrysler IMAX Dome Theatre, Michigan Science Center",Dome 1.43:1,,,IMAX GT Dome 15/70 mm,0 ft 0.0 in,67 ft 7.02 in,No
MI,Grand Blanc,NCG Trillium & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
MI,Grand Rapids,Celebration! Cinema Grand Rapids North & IMAX,1.43:1,IMAX Digital,1.90:1,IMAX SR 15/70 mm,52 ft 9.86 in,69 ft 10.58 in,Yes
MI,Southgate,MJR Southgate & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
MN,Edina,AMC Southdale 16 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
MN,Roseville,AMC Rosedale 14 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,28 ft 10.46 in,51 ft 6.11 in,Yes
MN,St. Paul,Omnitheater Science Museum of Minnesota,Dome 1.43:1,IMAX Laser for Dome,Dome 1.43:1,No,0 ft 0.0 in,89 ft 10.74 in,No
MO,Branson,Branson's IMAX - Entertainment Complex,1.43:1,IMAX GT Laser,1.43:1,No,62 ft 4.03 in,83 ft 11.87 in,Yes
MO,Independence,AMC Independence 20 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
MO,Kansas City,AMC Barry Woods 24 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,33 ft 1.64 in,58 ft 0.85 in,Yes
MO,St. Louis,"OMNIMAX, St. Louis Science Center",Dome 1.43:1,IMAX Laser for Dome,Dome 1.43:1,No,0 ft 0.0 in,79 ft 0.82 in,Limited
NC,Charlotte,Charlotte IMAX Dome Theatre at Discovery Place,Dome 1.43:1,IMAX Laser for Dome,Dome 1.43:1,No,0 ft 0.0 in,79 ft 0.82 in,Yes
NC,Charlotte,Regal Stonecrest At Piper Glen & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
NC,Concord,AMC Concord Mills 24 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,26 ft 10.83 in,48 ft 2.74 in,Yes
NC,Durham,AMC Southpoint 17 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,34 ft 5.39 in,62 ft 7.97 in,Yes
NC,Fayetteville,AMC Fayetteville 14 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,35 ft 9.13 in,65 ft 11.34 in,Yes
NC,Greenville,Greenville Grande & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
NC,High Point,Regal Palladium & IMAX,1.90:1,IMAX CoLa,1.90:1,No,29 ft 10.27 in,49 ft 10.43 in,Yes
NJ,Cherry Hill,AMC Cherry Hill 24 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,27 ft 10.65 in,54 ft 1.61 in,Yes
NJ,Clifton,AMC Clifton Commons 16 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,23 ft 11.4 in,44 ft 11.37 in,Yes
NJ,New Brunswick,AMC New Brunswick 18 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,31 ft 9.89 in,58 ft 4.79 in,Yes
NJ,Paramus,AMC Garden State 16 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,37 ft 4.82 in,63 ft 7.78 in,Yes
NJ,Rockaway,AMC Rockaway 16 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,30 ft 2.2 in,54 ft 1.61 in,Yes
NV,Henderson,Regal Sunset Station & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
NV,Las Vegas,AMC Town Square 18 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,37 ft 0.88 in,65 ft 11.34 in,Yes
NV,Las Vegas,Regal Red Rock & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
NV,North Las Vegas,Regal Aliante & IMAX,1.90:1,IMAX CoLa,1.90:1,No,33 ft 1.64 in,50 ft 10.24 in,Yes
NY,Albany,Regal Crossgates & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
NY,Deer Park,Regal Deer Park & IMAX,1.90:1,IMAX CoLa,1.90:1,No,31 ft 2.02 in,49 ft 10.43 in,Yes
NY,Fresh Meadows,AMC Fresh Meadows 7 & IMAX,Unk,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
NY,New Rochelle,Regal New Roc & IMAX,1.43:1,IMAX CoLa,1.90:1,No,59 ft 4.6 in,81 ft 4.38 in,Yes
NY,New York,AMC 34th Street 14 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,30 ft 2.2 in,54 ft 1.61 in,Yes
NY,New York,AMC Empire 25 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,27 ft 10.65 in,58 ft 0.85 in,Yes
NY,New York,AMC Kips Bay 15 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,27 ft 6.71 in,60 ft 0.47 in,Yes
NY,New York,AMC Lincoln Square 13 & IMAX,1.43:1,IMAX GT Laser,1.43:1,IMAX GT3D 15/70 mm,75 ft 7.09 in,100 ft 11.81 in,Yes
NY,Staten Island,AMC Staten Island 11 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,30 ft 10.08 in,55 ft 1.42 in,Yes
NY,Stony Brook,AMC Stony Brook 17 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,27 ft 10.65 in,52 ft 1.98 in,Yes
OH,Cincinnati,Robert D. Lindner Family OMNIMAX® Theater,Dome 1.43:1,IMAX Laser for Dome,Dome 1.43:1,No,0 ft 0.0 in,72 ft 2.14 in,No
OH,Columbus,Lennox Town Center & IMAX,1.90:1,IMAX CoLa,1.90:1,No,30 ft 2.2 in,58 ft 0.85 in,Yes
OK,Moore,Regal Warren Moore & IMAX,1.43:1,IMAX CoLa,1.90:1,No,60 ft 0.47 in,80 ft 0.63 in,Yes
OR,Tigard,Regal Bridgeport Village & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
PA,Bensalem,AMC Neshaminy 24 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,32 ft 1.83 in,60 ft 0.47 in,Yes
PA,King of Prussia,Regal UA King of Prussia & IMAX,1.43:1,IMAX CoLa,1.90:1,IMAX 15/70 mm,52 ft 1.98 in,73 ft 1.95 in,Yes
PA,Warrington,Regal Warrington Crossing & IMAX,1.90:1,IMAX CoLa,1.90:1,No,26 ft 10.83 in,51 ft 10.05 in,Yes
PA,West Homestead,AMC Waterfront 22 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,27 ft 10.65 in,50 ft 2.36 in,Yes
RI,Providence,Providence Place Cinemas 16 and IMAX,1.43:1,IMAX Digital,1.90:1,IMAX GT3D 15/70 mm,61 ft 0.28 in,81 ft 0.44 in,Yes
SC,Simpsonville,Regal Simpsonville & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
TN,Chattanooga,"IMAX 3D, Tennessee Aquarium",1.43:1,IMAX GT Laser,1.43:1,No,68 ft 10.77 in,87 ft 3.24 in,Yes
TN,Franklin,AMC Thoroughbred 20 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,38 ft 0.69 in,69 ft 2.71 in,Yes
TN,Knoxville,Regal Pinnacle & IMAX,1.90:1,IMAX CoLa,1.90:1,No,36 ft 8.94 in,61 ft 0.28 in,Yes
TN,Nashville,Regal Opry Mills & IMAX,1.43:1,IMAX CoLa,1.90:1,IMAX GT3D 15/70 mm,65 ft 7.4 in,89 ft 10.74 in,Yes
TX,Austin,"IMAX, The Bullock Texas State History Museum",1.43:1,IMAX GT Laser,1.43:1,No,62 ft 4.03 in,82 ft 4.19 in,Yes
TX,Austin,Regal Gateway & IMAX,1.90:1,IMAX CoLa,1.90:1,No,29 ft 6.33 in,49 ft 10.43 in,Yes
TX,Austin,EVO Cinemas Belterra Village & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
TX,Baytown,Showbiz Cinemas Baytown & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
TX,Dallas,AMC Northpark 15 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,36 ft 5.01 in,65 ft 7.4 in,Yes
TX,Dallas,Cinemark Dallas & IMAX,1.43:1,IMAX Digital,1.90:1,IMAX SR 15/70 mm,52 ft 9.86 in,70 ft 10.39 in,Yes
TX,Edinburg,AMC Edinburg 18 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,75 ft 5.51 in,Yes
TX,Frisco,AMC Stonebriar 24 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,28 ft 10.46 in,52 ft 1.98 in,Yes
TX,Garland,AMC Firewheel 18 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
TX,Houston,AMC Willowbrook 24 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,31 ft 2.02 in,56 ft 1.23 in,Yes
TX,Houston,Regal Edwards Houston Marq*E & IMAX,1.43:1,IMAX CoLa,1.90:1,No,57 ft 1.04 in,75 ft 1.57 in,Yes
TX,Houston,AMC Gulf Pointe 30 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
TX,Houston,Showbiz Cinemas Liberty Lakes & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
TX,San Antonio,AMC Rivercenter 11 & IMAX (Auditorium 11),1.43:1,IMAX Digital,1.90:1,No,52 ft 9.86 in,69 ft 10.58 in,Yes
TX,Shenandoah,AMC Metropark 10 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,32 ft 9.7 in,52 ft 5.92 in,Yes
TX,Waxahachie,EVO Entertainment Waxahachie & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
VA,Alexandria,AMC Hoffman Center 22 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,27 ft 10.65 in,50 ft 10.24 in,Yes
VA,Ashburn,Regal Fox & IMAX,1.90:1,IMAX CoLa,1.90:1,No,31 ft 2.02 in,55 ft 1.42 in,Yes
VA,Chantilly,"Airbus IMAX, Steven F. Udvar-Hazy Center",1.43:1,IMAX GT Laser,1.43:1,No,62 ft 4.03 in,85 ft 7.56 in,Yes
VA,McLean,AMC Tysons Corner 16 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,40 ft 0.31 in,64 ft 11.53 in,Yes
VA,Virginia Beach,AMC Lynnhaven 18 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,29 ft 10.27 in,51 ft 10.05 in,Yes
VA,Woodbridge,AMC Potomac Mills 18 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,29 ft 6.33 in,52 ft 5.92 in,Yes
WA,Kent,AMC Kent Station 14 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,28 ft 10.46 in,51 ft 6.11 in,Yes
WA,Lynnwood,AMC Alderwood Mall 16 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,35 ft 1.26 in,62 ft 11.91 in,Yes
WA,Seattle,"Boeing IMAX, Pacific Science Center",1.43:1,IMAX GT Laser,1.43:1,No,59 ft 4.6 in,80 ft 0.63 in,Yes
WA,Seattle,Regal Thornton Place & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
WA,Tukwila,AMC Southcenter 16 & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,28 ft 6.52 in,51 ft 10.05 in,Yes
