State,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Baja California,Tijuana,Cinemex Peninsula Tijuana & IMAX,1.90:1,IMAX,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
Mexico City,Mexico City,Cinemex Antara & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
Nuevo León,Monterrey,Mega Pantalla IMAX Papalote Monterrey,1.43:1,IMAX GT Laser,1.43:1,No,52 ft 5.92 in,68 ft 10.77 in,Yes
