Province/State,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Antioquia,Envigado,Cine Colombia Viva Envigado & IMAX,1.90:1,IMAX CoLa,1.90:1,No,41 ft 11.94 in,73 ft 9.83 in,Yes
Bogota,Bogota,Multiplex Nuestro Bogota & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 ft 0.0 in,0 ft 0.0 in,Yes
