Province,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
Kowloon,Yau Tsim Mong,Hongkong ISQUARE Emperor & IMAX,1.90:1,IMAX CoLa,1.90:1,No,38 ft 8.57 in,68 ft 8.41 in,Yes
Kowloon,Yau Tsim Mong,MCL Cinemas IMAX @ K11 Art House,1.90:1,IMAX CoLa,1.90:1,No,38 ft 7.39 in,67 ft 10.96 in,Yes
Kowloon,Yau Tsim Mong,"OMNIMAX, Hong Kong Space Museum",Dome 1.43:1,,,IMAX GT Dome 15/70 mm,0 ft 0.0 in,75 ft 5.51 in,Unk
